"","X.tax_id","chromosome","chr_start","chr_stop","chr_orient","contig","ctg_start","ctg_stop","ctg_orient","feature_name","feature_id","feature_type","group_label","transcript","evidence_code"
"599994",9606,"11",118015772,118086793,"-","NC_000011.10",118015772,118086793,"-","TMPRSS4-AS1","GeneID:100526771","GENE","GRCh38.p7-Primary Assembly","-",""
"2614492",9606,"6",163413065,163413950,"-","NC_000006.12",163413065,163413950,"-","CAHM","GeneID:100526820","GENE","GRCh38.p7-Primary Assembly","-",""
"2679852",9606,"7",30752135,30892387,"+","NC_000007.14",30752135,30892387,"+","INMT-FAM188B","GeneID:100526825","GENE","GRCh38.p7-Primary Assembly","-",""
"1117037",9606,"16",30194433,30204329,"+","NC_000016.10",30194433,30204329,"+","SLX1A-SULT1A3","GeneID:100526830","GENE","GRCh38.p7-Primary Assembly","-",""
"1114095",9606,"16",29455091,29464980,"+","NC_000016.10",29455091,29464980,"+","SLX1B-SULT1A4","GeneID:100526831","GENE","GRCh38.p7-Primary Assembly","-",""
"1939726",9606,"22",19717220,19724774,"+","NC_000022.11",19717220,19724774,"+","SEPT5-GP1BB","GeneID:100526833","GENE","GRCh38.p7-Primary Assembly","-",""
"2471268",9606,"6",7881250,8064414,"-","NC_000006.12",7881250,8064414,"-","BLOC1S5-TXNDC5","GeneID:100526836","GENE","GRCh38.p7-Primary Assembly","-",""
"2471356",9606,"6",8013567,8102595,"-","NC_000006.12",8013567,8102595,"-","EEF1E1-BLOC1S5","GeneID:100526837","GENE","GRCh38.p7-Primary Assembly","-",""
"76590",9606,"1",38862490,38881626,"-","NC_000001.11",38862490,38881626,"-","GJA9-MYCBP","GeneID:100527950","GENE","GRCh38.p7-Primary Assembly","-",""
"110589",9606,"1",54641740,54742657,"+","NC_000001.11",54641740,54742657,"+","MROH7-TTC4","GeneID:100527960","GENE","GRCh38.p7-Primary Assembly","-",""
"235804",9606,"1",180269663,180274681,"-","NC_000001.11",180269663,180274681,"-","LHX4-AS1","GeneID:100527964","GENE","GRCh38.p7-Primary Assembly","-",""
"423422",9606,"10",102854210,102901899,"+","NC_000010.11",102854210,102901899,"+","BORCS7-ASMT","GeneID:100528007","GENE","GRCh38.p7-Primary Assembly","-",""
"520691",9606,"11",57712523,57819180,"+","NC_000011.10",57712523,57819180,"+","TMX2-CTNND1","GeneID:100528016","GENE","GRCh38.p7-Primary Assembly","-",""
"539715",9606,"11",65014113,65040572,"+","NC_000011.10",65014113,65040572,"+","ARL2-SNX15","GeneID:100528018","GENE","GRCh38.p7-Primary Assembly","-",""
"592093",9606,"11",111912736,111926871,"+","NC_000011.10",111912736,111926871,"+","HSPB2-C11orf52","GeneID:100528019","GENE","GRCh38.p7-Primary Assembly","-",""
"696193",9606,"12",55716034,55724742,"+","NC_000012.12",55716034,55724742,"+","BLOC1S1-RDH5","GeneID:100528022","GENE","GRCh38.p7-Primary Assembly","-",""
"1825850",9606,"20",1309909,1393172,"-","NC_000020.11",1309909,1393172,"-","FKBP1A-SDCBP2","GeneID:100528031","GENE","GRCh38.p7-Primary Assembly","-",""
"978160",9606,"15",43791976,43802589,"+","NC_000015.10",43791976,43802589,"+","SERF2-C15ORF63","GeneID:100529067","GENE","GRCh38.p7-Primary Assembly","-",""
"1325773",9606,"17",75979217,76005999,"+","NC_000017.11",75979217,76005999,"+","TEN1-CDK3","GeneID:100529145","GENE","GRCh38.p7-Primary Assembly","-",""
"1242592",9606,"17",35009112,35121522,"-","NC_000017.11",35009112,35121522,"-","RAD51L3-RFFL","GeneID:100529207","GENE","GRCh38.p7-Primary Assembly","-",""
"1200645",9606,"17",7012417,7017524,"+","NC_000017.11",7012417,7017524,"+","RNASEK-C17orf49","GeneID:100529209","GENE","GRCh38.p7-Primary Assembly","-",""
"1203221",9606,"17",7389727,7404131,"-","NC_000017.11",7389727,7404131,"-","TMEM256-PLSCR3","GeneID:100529211","GENE","GRCh38.p7-Primary Assembly","-",""
"1493669",9606,"19",40775537,40796944,"+","NC_000019.10",40775537,40796944,"+","MIA-RAB4B","GeneID:100529262","GENE","GRCh38.p7-Primary Assembly","-",""
"1493685",9606,"19",40778219,40808441,"+","NC_000019.10",40778219,40808441,"+","RAB4B-EGLN2","GeneID:100529264","GENE","GRCh38.p7-Primary Assembly","-",""
"1443670",9606,"19",12131350,12156731,"-","NC_000019.10",12131350,12156731,"-","ZNF625-ZNF20","GeneID:100529855","GENE","GRCh38.p7-Primary Assembly","-",""
"2150236",9606,"3",132558138,132722459,"-","NC_000003.12",132558138,132722459,"-","NPHP3-ACAD11","GeneID:100532724","GENE","GRCh38.p7-Primary Assembly","-",""
"2496878",9606,"6",31739948,31764850,"+","NC_000006.12",31739948,31764850,"+","MSH5-SAPCD1","GeneID:100532732","GENE","GRCh38.p7-Primary Assembly","-",""
"1638626",9606,"2",74455023,74460891,"+","NC_000002.12",74455023,74460891,"+","INO80B-WBP1","GeneID:100532735","GENE","GRCh38.p7-Primary Assembly","-",""
"2494226",9606,"6",31530219,31546848,"-","NC_000006.12",31530219,31546848,"-","ATP6V1G2-DDX39B","GeneID:100532737","GENE","GRCh38.p7-Primary Assembly","-",""
"3051223",9606,"X",15345591,15491309,"-","NC_000023.11",15345591,15491309,"-","PIR-FIGF","GeneID:100532742","GENE","GRCh38.p7-Primary Assembly","-",""
"2499592",9606,"6",32153999,32168285,"+","NC_000006.12",32153999,32168285,"+","PPT2-EGFL8","GeneID:100532746","GENE","GRCh38.p7-Primary Assembly","-",""
"1895239",9606,"20",63657810,63698698,"+","NC_000020.11",63657810,63698698,"+","RTEL1-TNFRSF6B","GeneID:100533107","GENE","GRCh38.p7-Primary Assembly","-",""
"307423",9606,"1",246945547,247078813,"-","NC_000001.11",246945547,247078813,"-","ZNF670-ZNF695","GeneID:100533111","GENE","GRCh38.p7-Primary Assembly","-",""
"1813110",9606,"2",237966945,238099413,"+","NC_000002.12",237966945,238099413,"+","UBE2F-SCLY","GeneID:100533179","GENE","GRCh38.p7-Primary Assembly","-",""
"2281680",9606,"4",109429963,109433817,"-","NC_000004.12",109429963,109433817,"-","SEC24B-AS1","GeneID:100533182","GENE","GRCh38.p7-Primary Assembly","-",""
"409995",9606,"10",97153042,97292673,"-","NC_000010.11",97153042,97292673,"-","ARHGAP19-SLIT1","GeneID:100533184","GENE","GRCh38.p7-Primary Assembly","-",""
"447806",9606,"10",122832155,122879641,"-","NC_000010.11",122832155,122879641,"-","FAM24B-CUZD1","GeneID:100533195","GENE","GRCh38.p7-Primary Assembly","-",""
"644528",9606,"12",10845849,11171625,"-","NC_000012.12",10845849,11171625,"-","PRH1-PRR4","GeneID:100533464","GENE","GRCh38.p7-Primary Assembly","-",""
"993107",9606,"15",55355223,55498584,"-","NC_000015.10",55355223,55498584,"-","DYX1C1-CCPG1","GeneID:100533483","GENE","GRCh38.p7-Primary Assembly","-",""
"1215981",9606,"17",15436015,15563631,"-","NC_000017.11",15436015,15563631,"-","TVP23C-CDRT4","GeneID:100533496","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"1244657",9606,"17",35904220,35911023,"-","NC_000017.11",35904220,35911023,"-","LRRC37A8P","GeneID:100533789","GENE","GRCh38.p7-Primary Assembly","-",""
"1203965",9606,"17",7561992,7579006,"+","NC_000017.11",7561992,7579006,"+","SENP3-EIF4A1","GeneID:100533955","GENE","GRCh38.p7-Primary Assembly","-",""
"1191088",9606,"17",3662893,3696404,"-","NC_000017.11",3662893,3696404,"-","P2RX5-TAX1BP3","GeneID:100533970","GENE","GRCh38.p7-Primary Assembly","-",""
"1887641",9606,"20",59028678,59042846,"-","NC_000020.11",59028678,59042846,"-","SLMO2-ATP5E","GeneID:100533975","GENE","GRCh38.p7-Primary Assembly","-",""
"1504678",9606,"19",44942238,44949565,"+","NC_000019.10",44942238,44949565,"+","APOC4-APOC2","GeneID:100533990","GENE","GRCh38.p7-Primary Assembly","-",""
"2676938",9606,"7",27162438,27180261,"-","NC_000007.14",27162438,27180261,"-","HOXA10-HOXA9","GeneID:100534589","GENE","GRCh38.p7-Primary Assembly","-",""
"1886982",9606,"20",58651253,58715844,"+","NC_000020.11",58651253,58715844,"+","STX16-NPEPL1","GeneID:100534593","GENE","GRCh38.p7-Primary Assembly","-",""
"530266",9606,"11",62690262,62727384,"-","NC_000011.10",62690262,62727384,"-","HNRNPUL2-BSCL2","GeneID:100534595","GENE","GRCh38.p7-Primary Assembly","-",""
"2199030",9606,"3",196316085,196338420,"-","NC_000003.12",196316085,196338420,"-","TM4SF19-TCTEX1D2","GeneID:100534611","GENE","GRCh38.p7-Primary Assembly","-",""
"2347738",9606,"5",33986986,34124528,"-","NC_000005.10",33986986,34124528,"-","C1QTNF3-AMACR","GeneID:100534612","GENE","GRCh38.p7-Primary Assembly","-",""
"1510704",9606,"19",47130782,47210636,"+","NC_000019.10",47130782,47210636,"+","SAE1","GeneID:10055","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"1907147",9606,"21",32080481,32086295,"-","NC_000021.9",32080481,32086295,"-","LINC00159","GeneID:100551499","GENE","GRCh38.p7-Primary Assembly","-",""
"1793479",9606,"2",222571443,222656355,"-","NC_000002.12",222571443,222656355,"-","FARSB","GeneID:10056","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"2186140",9606,"3",183919934,184018010,"-","NC_000003.12",183919934,184018010,"-","ABCC5","GeneID:10057","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"2863978",9606,"8",95268836,95810143,"+","NC_000008.11",95268836,95810143,"+","C8orf37-AS1","GeneID:100616530","GENE","GRCh38.p7-Primary Assembly","-",""
"805943",9606,"13",40796985,40921750,"-","NC_000013.11",40796985,40921750,"-","TPTE2P5","GeneID:100616668","GENE","GRCh38.p7-Primary Assembly","-",""
"916193",9606,"14",80211419,80455467,"+","NC_000014.9",80211419,80455467,"+","DIO2-AS1","GeneID:100628307","GENE","GRCh38.p7-Primary Assembly","-",""
"228086",9606,"1",172136879,172144835,"-","NC_000001.11",172136879,172144835,"-","DNM3OS","GeneID:100628315","GENE","GRCh38.p7-Primary Assembly","-",""
"1645210",9606,"2",85537467,85538886,"-","NC_000002.12",85537467,85538886,"-","PARTICL","GeneID:100630918","GENE","GRCh38.p7-Primary Assembly","-",""
"2741534",9606,"7",102363861,102426682,"+","NC_000007.14",102363861,102426682,"+","LOC100630923","GeneID:100630923","GENE","GRCh38.p7-Primary Assembly","-",""
"1484006",9606,"19",37823722,37855196,"-","NC_000019.10",37823722,37855196,"-","LOC100631378","GeneID:100631378","GENE","GRCh38.p7-Primary Assembly","-",""
"2428929",9606,"5",142317620,142318322,"-","NC_000005.10",142317620,142318322,"-","SPRY4-IT1","GeneID:100642175","GENE","GRCh38.p7-Primary Assembly","-",""
"1893513",9606,"20",62774121,62776856,"-","NC_000020.11",62774121,62776856,"-","LINC00659","GeneID:100652730","GENE","GRCh38.p7-Primary Assembly","-",""
"1938429",9606,"22",19171706,19172832,"+","NC_000022.11",19171706,19172832,"+","LINC01311","GeneID:100652736","GENE","GRCh38.p7-Primary Assembly","-",""
"2598868",9606,"6",149863498,149919508,"+","NC_000006.12",149863498,149919508,"+","RAET1E-AS1","GeneID:100652739","GENE","GRCh38.p7-Primary Assembly","-",""
"1120281",9606,"16",31201885,31203452,"+","NC_000016.10",31201885,31203452,"+","PYCARD-AS1","GeneID:100652740","GENE","GRCh38.p7-Primary Assembly","-",""
"358894",9606,"10",49942033,49988221,"+","NC_000010.11",49942033,49988221,"+","TIMM23B","GeneID:100652748","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"1048416",9606,"15",96772005,96783337,"-","NC_000015.10",96772005,96783337,"-","SPATA8-AS1","GeneID:100652749","GENE","GRCh38.p7-Primary Assembly","-",""
"2439957",9606,"5",151769793,151772176,"-","NC_000005.10",151769793,151772176,"-","LOC100652758","GeneID:100652758","GENE","GRCh38.p7-Primary Assembly","-",""
"2097635",9606,"3",64067964,64103131,"+","NC_000003.12",64067964,64103131,"+","PRICKLE2-AS1","GeneID:100652759","GENE","GRCh38.p7-Primary Assembly","-",""
"597431",9606,"11",117195613,117201914,"-","NC_000011.10",117195613,117201914,"-","LOC100652768","GeneID:100652768","GENE","GRCh38.p7-Primary Assembly","-",""
"1373584",9606,"18",31542146,31556911,"-","NC_000018.10",31542146,31556911,"-","DSG2-AS1","GeneID:100652770","GENE","GRCh38.p7-Primary Assembly","-",""
"2358511",9606,"5",43573185,43603230,"-","NC_000005.10",43573185,43603230,"-","NNT-AS1","GeneID:100652772","GENE","GRCh38.p7-Primary Assembly","-",""
"1103306",9606,"16",21349363,21385933,"+","NC_000016.10",21349363,21385933,"+","SNX29P1","GeneID:100652781","GENE","GRCh38.p7-Primary Assembly","-",""
"2798719",9606,"8",6835554,6842454,"+","NC_000008.11",6835554,6842454,"+","GS1-24F4.2","GeneID:100652791","GENE","GRCh38.p7-Primary Assembly","-",""
"628772",9606,"12",2676001,2691157,"-","NC_000012.12",2676001,2691157,"-","CACNA1C-AS1","GeneID:100652846","GENE","GRCh38.p7-Primary Assembly","-",""
"2399029",9606,"5",108727825,108728261,"-","NC_000005.10",108727825,108728261,"-","LINC01023","GeneID:100652853","GENE","GRCh38.p7-Primary Assembly","-",""
"786312",9606,"13",18905439,18926741,"+","NC_000013.11",18905439,18926741,"+","LINC00408","GeneID:100652856","GENE","GRCh38.p7-Primary Assembly","-",""
"958838",9606,"15",33236476,33247555,"-","NC_000015.10",33236476,33247555,"-","TMCO5B","GeneID:100652857","GENE","GRCh38.p7-Primary Assembly","-",""
"790347",9606,"13",21303512,21344859,"-","NC_000013.11",21303512,21344859,"-","LINC00539","GeneID:100652865","GENE","GRCh38.p7-Primary Assembly","-",""
"1200021",9606,"17",6657719,6661382,"+","NC_000017.11",6657719,6661382,"+","ALOX15P1","GeneID:100652883","GENE","GRCh38.p7-Primary Assembly","-",""
"1473858",9606,"19",34892029,34898943,"-","NC_000019.10",34892029,34898943,"-","LINC00904","GeneID:100652909","GENE","GRCh38.p7-Primary Assembly","-",""
"1333938",9606,"17",79707266,79712317,"+","NC_000017.11",79707266,79712317,"+","HP09025","GeneID:100652929","GENE","GRCh38.p7-Primary Assembly","-",""
"3148189",9606,"Y",22316678,22320384,"+","NC_000024.10",22316678,22320384,"+","LOC100652931","GeneID:100652931","GENE","GRCh38.p7-Primary Assembly","-",""
"313646",9606,"10",4206876,4243912,"-","NC_000010.11",4206876,4243912,"-","LINC00702","GeneID:100652988","GENE","GRCh38.p7-Primary Assembly","-",""
"317473",9606,"10",6774303,6779180,"-","NC_000010.11",6774303,6779180,"-","LINC00706","GeneID:100652997","GENE","GRCh38.p7-Primary Assembly","-",""
"692222",9606,"12",53513984,53517608,"+","NC_000012.12",53513984,53517608,"+","LOC100652999","GeneID:100652999","GENE","GRCh38.p7-Primary Assembly","-",""
"2701711",9606,"7",57404767,57412147,"+","NC_000007.14",57404767,57412147,"+","LOC100653233","GeneID:100653233","GENE","GRCh38.p7-Primary Assembly","-",""
"2884750",9606,"8",127013154,127021014,"+","NC_000008.11",127013154,127021014,"+","PCAT1","GeneID:100750225","GENE","GRCh38.p7-Primary Assembly","-",""
"890979",9606,"14",61681041,61695823,"-","NC_000014.9",61681041,61695823,"-","HIF1A-AS1","GeneID:100750246","GENE","GRCh38.p7-Primary Assembly","-",""
"2672771",9606,"7",23101228,23105703,"-","NC_000007.14",23101228,23105703,"-","KLHL7-AS1","GeneID:100775104","GENE","GRCh38.p7-Primary Assembly","-",""
"2180679",9606,"3",177294442,177323435,"+","NC_000003.12",177294442,177323435,"+","LINC00501","GeneID:100820709","GENE","GRCh38.p7-Primary Assembly","-",""
"488909",9606,"11",17493895,17544416,"-","NC_000011.10",17493895,17544416,"-","USH1C","GeneID:10083","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"2107213",9606,"3",87089280,87157069,"+","NC_000003.12",87089280,87157069,"+","LINC00506","GeneID:100846978","GENE","GRCh38.p7-Primary Assembly","-",""
"1933994",9606,"22",15700386,15703354,"-","NC_000022.11",15700386,15703354,"-","POTEH-AS1","GeneID:100852406","GENE","GRCh38.p7-Primary Assembly","-",""
"2353979",9606,"5",38282269,38290986,"-","NC_000005.10",38282269,38290986,"-","EGFLAM-AS4","GeneID:100852408","GENE","GRCh38.p7-Primary Assembly","-",""
"126682",9606,"1",71794232,71837012,"-","NC_000001.11",71794232,71837012,"-","NEGR1-IT1","GeneID:100852409","GENE","GRCh38.p7-Primary Assembly","-",""
"126480",9606,"1",71081324,71237723,"+","NC_000001.11",71081324,71237723,"+","ZRANB2-AS2","GeneID:100852410","GENE","GRCh38.p7-Primary Assembly","-",""
"2823842",9606,"8",32025736,32139477,"+","NC_000008.11",32025736,32139477,"+","NRG1-IT1","GeneID:100856811","GENE","GRCh38.p7-Primary Assembly","-",""
"2877879",9606,"8",115950511,116325059,"-","NC_000008.11",115950511,116325059,"-","LINC00536","GeneID:100859921","GENE","GRCh38.p7-Primary Assembly","-",""
"2463222",9606,"5",180829954,180831618,"-","NC_000005.10",180829954,180831618,"-","HEIH","GeneID:100859930","GENE","GRCh38.p7-Primary Assembly","-",""
"1731630",9606,"2",168771951,168786429,"-","NC_000002.12",168771951,168786429,"-","CERS6-AS1","GeneID:100861402","GENE","GRCh38.p7-Primary Assembly","-",""
"2396562",9606,"5",102581368,102617589,"+","NC_000005.10",102581368,102617589,"+","LINC00492","GeneID:100861468","GENE","GRCh38.p7-Primary Assembly","-",""
"270755",9606,"1",213924749,213926654,"+","NC_000001.11",213924749,213926654,"+","LINC00538","GeneID:100861504","GENE","GRCh38.p7-Primary Assembly","-",""
"1926261",9606,"21",44450986,44455284,"-","NC_000021.9",44450986,44455284,"-","LRRC3-AS1","GeneID:100861510","GENE","GRCh38.p7-Primary Assembly","-",""
"2684822",9606,"7",36997796,37013630,"+","NC_000007.14",36997796,37013630,"+","ELMO1-AS1","GeneID:100861514","GENE","GRCh38.p7-Primary Assembly","-",""
"1221965",9606,"17",17759154,17766302,"-","NC_000017.11",17759154,17766302,"-","RAI1-AS1","GeneID:100861516","GENE","GRCh38.p7-Primary Assembly","-",""
"2412763",9606,"5",132184876,132192805,"+","NC_000005.10",132184876,132192805,"+","P4HA2-AS1","GeneID:100861518","GENE","GRCh38.p7-Primary Assembly","-",""
"2353818",9606,"5",37840028,37875799,"+","NC_000005.10",37840028,37875799,"+","GDNF-AS1","GeneID:100861519","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"2686141",9606,"7",39404598,39406346,"-","NC_000007.14",39404598,39406346,"-","POU6F2-AS1","GeneID:100861520","GENE","GRCh38.p7-Primary Assembly","-",""
"1864868",9606,"20",37619298,37623119,"-","NC_000020.11",37619298,37623119,"-","LINC00489","GeneID:100861522","GENE","GRCh38.p7-Primary Assembly","-",""
"2615947",9606,"6",166903698,166905069,"+","NC_000006.12",166903698,166905069,"+","RPS6KA2-AS1","GeneID:100861523","GENE","GRCh38.p7-Primary Assembly","-",""
"836807",9606,"13",99086723,99088625,"+","NC_000013.11",99086723,99088625,"+","DOCK9-AS2","GeneID:100861541","GENE","GRCh38.p7-Primary Assembly","-",""
"837583",9606,"13",99994899,99997909,"-","NC_000013.11",99994899,99997909,"-","LINC00554","GeneID:100861542","GENE","GRCh38.p7-Primary Assembly","-",""
"832015",9606,"13",94960041,94961319,"+","NC_000013.11",94960041,94961319,"+","LINC00557","GeneID:100861544","GENE","GRCh38.p7-Primary Assembly","-",""
"830352",9606,"13",81225865,81226983,"-","NC_000013.11",81225865,81226983,"-","LINC00564","GeneID:100861546","GENE","GRCh38.p7-Primary Assembly","-",""
"791945",9606,"13",24331450,24337121,"+","NC_000013.11",24331450,24337121,"+","LINC00566","GeneID:100861547","GENE","GRCh38.p7-Primary Assembly","-",""
"812681",9606,"13",47930153,47932622,"-","NC_000013.11",47930153,47932622,"-","LINC00562","GeneID:100861549","GENE","GRCh38.p7-Primary Assembly","-",""
"795480",9606,"13",27829759,27921404,"-","NC_000013.11",27829759,27921404,"-","PDX1-AS1","GeneID:100861550","GENE","GRCh38.p7-Primary Assembly","-",""
"818456",9606,"13",53815419,53876119,"+","NC_000013.11",53815419,53876119,"+","LINC00558","GeneID:100861552","GENE","GRCh38.p7-Primary Assembly","-",""
"811883",9606,"13",46296445,46297844,"-","NC_000013.11",46296445,46297844,"-","LINC00563","GeneID:100861554","GENE","GRCh38.p7-Primary Assembly","-",""
"848256",9606,"13",113926514,113928991,"-","NC_000013.11",113926514,113928991,"-","LINC00565","GeneID:100861555","GENE","GRCh38.p7-Primary Assembly","-",""
"796944",9606,"13",29918647,29926651,"-","NC_000013.11",29918647,29926651,"-","LINC00572","GeneID:100861573","GENE","GRCh38.p7-Primary Assembly","-",""
"2139734",9606,"3",126180065,126210169,"+","NC_000003.12",126180065,126210169,"+","ALDH1L1-AS2","GeneID:100862662","GENE","GRCh38.p7-Primary Assembly","-",""
"2179947",9606,"3",175079312,175115242,"-","NC_000003.12",175079312,175115242,"-","NAALADL2-AS3","GeneID:100862679","GENE","GRCh38.p7-Primary Assembly","-",""
"778813",9606,"12",127915410,127951552,"+","NC_000012.12",127915410,127951552,"+","LINC00507","GeneID:100862680","GENE","GRCh38.p7-Primary Assembly","-",""
"1931491",9606,"21",46462471,46469306,"+","NC_000021.9",46462471,46469306,"+","DIP2A-IT1","GeneID:100862692","GENE","GRCh38.p7-Primary Assembly","-",""
"812877",9606,"13",48296513,48303661,"-","NC_000013.11",48296513,48303661,"-","LINC00441","GeneID:100862704","GENE","GRCh38.p7-Primary Assembly","-",""
"3057779",9606,"X",22193005,23293146,"-","NC_000023.11",22193005,23293146,"-","PTCHD1-AS","GeneID:100873065","GENE","GRCh38.p7-Primary Assembly","-",""
"169154",9606,"1",121360156,121397905,"-","NC_000001.11",121360156,121397905,"-","SRGAP2-AS1","GeneID:100873165","GENE","GRCh38.p7-Primary Assembly","-",""
"2193137",9606,"3",188562237,188568666,"-","NC_000003.12",188562237,188568666,"-","LPP-AS1","GeneID:100873917","GENE","GRCh38.p7-Primary Assembly","-",""
"3052860",9606,"X",17552349,17559127,"-","NC_000023.11",17552349,17559127,"-","NHS-AS1","GeneID:100873920","GENE","GRCh38.p7-Primary Assembly","-",""
"3075373",9606,"X",49198839,49202454,"+","NC_000023.11",49198839,49202454,"+","SYP-AS1","GeneID:100873921","GENE","GRCh38.p7-Primary Assembly","-",""
"3058432",9606,"X",24146225,24149654,"-","NC_000023.11",24146225,24149654,"-","ZFX-AS1","GeneID:100873922","GENE","GRCh38.p7-Primary Assembly","-",""
"274513",9606,"1",220832763,220880140,"-","NC_000001.11",220832763,220880140,"-","HLX-AS1","GeneID:100873924","GENE","GRCh38.p7-Primary Assembly","-",""
"3089394",9606,"X",70452956,70455994,"-","NC_000023.11",70452956,70455994,"-","DLG3-AS1","GeneID:100873930","GENE","GRCh38.p7-Primary Assembly","-",""
"146064",9606,"1",97095923,97322955,"+","NC_000001.11",97095923,97322955,"+","DPYD-AS1","GeneID:100873932","GENE","GRCh38.p7-Primary Assembly","-",""
"146406",9606,"1",97796921,97798051,"+","NC_000001.11",97796921,97798051,"+","DPYD-AS2","GeneID:100873933","GENE","GRCh38.p7-Primary Assembly","-",""
"22349",9606,"1",11143898,11149538,"+","NC_000001.11",11143898,11149538,"+","MTOR-AS1","GeneID:100873935","GENE","GRCh38.p7-Primary Assembly","-",""
"2008623",9606,"3",7519741,7535284,"-","NC_000003.12",7519741,7535284,"-","GRM7-AS1","GeneID:100873937","GENE","GRCh38.p7-Primary Assembly","-",""
"2245235",9606,"4",53500077,53523274,"+","NC_000004.12",53500077,53523274,"+","LNX1-AS1","GeneID:100873939","GENE","GRCh38.p7-Primary Assembly","-",""
"2135356",9606,"3",123689644,123692407,"+","NC_000003.12",123689644,123692407,"+","MYLK-AS2","GeneID:100873940","GENE","GRCh38.p7-Primary Assembly","-",""
"2195551",9606,"3",193618599,193627332,"-","NC_000003.12",193618599,193627332,"-","OPA1-AS1","GeneID:100873941","GENE","GRCh38.p7-Primary Assembly","-",""
"3057750",9606,"X",22162732,22172983,"-","NC_000023.11",22162732,22172983,"-","PHEX-AS1","GeneID:100873942","GENE","GRCh38.p7-Primary Assembly","-",""
"3046721",9606,"X",3659487,3668192,"+","NC_000023.11",3659487,3668192,"+","PRKX-AS1","GeneID:100873944","GENE","GRCh38.p7-Primary Assembly","-",""
"2163774",9606,"3",149086332,149102823,"+","NC_000003.12",149086332,149102823,"+","HLTF-AS1","GeneID:100873945","GENE","GRCh38.p7-Primary Assembly","-",""
"151802",9606,"1",107964443,107994607,"+","NC_000001.11",107964443,107994607,"+","VAV3-AS1","GeneID:100873946","GENE","GRCh38.p7-Primary Assembly","-",""
"2202723",9606,"3",198038321,198039467,"-","NC_000003.12",198038321,198039467,"-","LMLN-AS1","GeneID:100873947","GENE","GRCh38.p7-Primary Assembly","-",""
"2401239",9606,"5",111912508,112017306,"+","NC_000005.10",111912508,112017306,"+","NREP-AS1","GeneID:100873948","GENE","GRCh38.p7-Primary Assembly","-",""
"250106",9606,"1",201688256,201829559,"-","NC_000001.11",201688256,201829559,"-","IPO9-AS1","GeneID:100873949","GENE","GRCh38.p7-Primary Assembly","-",""
"2050496",9606,"3",43346919,43351962,"-","NC_000003.12",43346919,43351962,"-","SNRK-AS1","GeneID:100873954","GENE","GRCh38.p7-Primary Assembly","-",""
"2245306",9606,"4",53592956,53605382,"+","NC_000004.12",53592956,53605382,"+","LNX1-AS2","GeneID:100873955","GENE","GRCh38.p7-Primary Assembly","-",""
"3141674",9606,"Y",3002996,3102272,"+","NC_000024.10",3002996,3102272,"+","LINC00278","GeneID:100873962","GENE","GRCh38.p7-Primary Assembly","-",""
"3141866",9606,"Y",6357219,6361413,"-","NC_000024.10",6357219,6361413,"-","LINC00280","GeneID:100873964","GENE","GRCh38.p7-Primary Assembly","-",""
"812803",9606,"13",48077137,48079993,"+","NC_000013.11",48077137,48079993,"+","MED4-AS1","GeneID:100873965","GENE","GRCh38.p7-Primary Assembly","-",""
"831562",9606,"13",92701389,92721614,"-","NC_000013.11",92701389,92721614,"-","GPC5-AS1","GeneID:100873969","GENE","GRCh38.p7-Primary Assembly","-",""
"831539",9606,"13",92339794,92352207,"-","NC_000013.11",92339794,92352207,"-","GPC5-AS2","GeneID:100873970","GENE","GRCh38.p7-Primary Assembly","-",""
"831697",9606,"13",94154193,94187991,"-","NC_000013.11",94154193,94187991,"-","GPC6-AS1","GeneID:100873972","GENE","GRCh38.p7-Primary Assembly","-",""
"831663",9606,"13",93818424,93858473,"-","NC_000013.11",93818424,93858473,"-","GPC6-AS2","GeneID:100873973","GENE","GRCh38.p7-Primary Assembly","-",""
"156083",9606,"1",110208450,110209987,"-","NC_000001.11",110208450,110209987,"-","KCNC4-AS1","GeneID:100873974","GENE","GRCh38.p7-Primary Assembly","-",""
"2005608",9606,"3",3039661,3061145,"-","NC_000003.12",3039661,3061145,"-","CNTN4-AS1","GeneID:100873975","GENE","GRCh38.p7-Primary Assembly","-",""
"2005147",9606,"3",2110409,2144241,"-","NC_000003.12",2110409,2144241,"-","CNTN4-AS2","GeneID:100873976","GENE","GRCh38.p7-Primary Assembly","-",""
"2032217",9606,"3",29926811,29934156,"-","NC_000003.12",29926811,29934156,"-","RBMS3-AS1","GeneID:100873977","GENE","GRCh38.p7-Primary Assembly","-",""
"2031957",9606,"3",29264194,29280939,"-","NC_000003.12",29264194,29280939,"-","RBMS3-AS3","GeneID:100873979","GENE","GRCh38.p7-Primary Assembly","-",""
"647380",9606,"12",15151923,15155283,"+","NC_000012.12",15151923,15155283,"+","RERG-AS1","GeneID:100873980","GENE","GRCh38.p7-Primary Assembly","-",""
